Category,Title,File Path
Oral,Physics-Transfer Learning_ A Framework to Address the Accuracy-Performance Dilemma in Modeling Compl.pdf,ICLR_2025_Papers/Oral/Physics-Transfer Learning_ A Framework to Address the Accuracy-Performance Dilemma in Modeling Compl.pdf
Oral,Scaling Laws for Precision.pdf,ICLR_2025_Papers/Oral/Scaling Laws for Precision.pdf
Oral,Scalable Decision-Making in Stochastic Environments through Learned Temporal Abstraction.pdf,ICLR_2025_Papers/Oral/Scalable Decision-Making in Stochastic Environments through Learned Temporal Abstraction.pdf
Oral,Network-based Active Inference for Adaptive and Cost-efficient Real-World Applications_ A Benchmark .pdf,ICLR_2025_Papers/Oral/Network-based Active Inference for Adaptive and Cost-efficient Real-World Applications_ A Benchmark .pdf
Oral,Enhancing Efficiency and Regularization in Convolutional Neural Networks_ Strategies for Optimized D.pdf,ICLR_2025_Papers/Oral/Enhancing Efficiency and Regularization in Convolutional Neural Networks_ Strategies for Optimized D.pdf
Oral,Slashed Normal_ Parameterize Normal Posterior Distributions with KL Amplitude.pdf,ICLR_2025_Papers/Oral/Slashed Normal_ Parameterize Normal Posterior Distributions with KL Amplitude.pdf
Oral,GETMusic_ Generating Music Tracks with a Unified Representation and Diffusion Framework.pdf,ICLR_2025_Papers/Oral/GETMusic_ Generating Music Tracks with a Unified Representation and Diffusion Framework.pdf
Oral,Self-supervised contrastive learning performs non-linear system identification.pdf,ICLR_2025_Papers/Oral/Self-supervised contrastive learning performs non-linear system identification.pdf
Oral,LayerDAG_ A Layerwise Autoregressive Diffusion Model for Directed Acyclic Graph Generation.pdf,ICLR_2025_Papers/Oral/LayerDAG_ A Layerwise Autoregressive Diffusion Model for Directed Acyclic Graph Generation.pdf
Oral,Joint Reward and Policy Learning with Demonstrations and Human Feedback Improves Alignment.pdf,ICLR_2025_Papers/Oral/Joint Reward and Policy Learning with Demonstrations and Human Feedback Improves Alignment.pdf
Oral,RDAS_ A Low Latency and High Throughput Raw Data Engine for Machine Learning Systems.pdf,ICLR_2025_Papers/Oral/RDAS_ A Low Latency and High Throughput Raw Data Engine for Machine Learning Systems.pdf
Oral,Structure-Aware Parameter-Efficient Machine Unlearning on Transformer Models.pdf,ICLR_2025_Papers/Oral/Structure-Aware Parameter-Efficient Machine Unlearning on Transformer Models.pdf
Oral,DySpec_ Faster Speculative Decoding with Dynamic Token Tree Structure.pdf,ICLR_2025_Papers/Oral/DySpec_ Faster Speculative Decoding with Dynamic Token Tree Structure.pdf
Oral,Alternating Optimized Stochastic Vector Quantization in Neural Compression.pdf,ICLR_2025_Papers/Oral/Alternating Optimized Stochastic Vector Quantization in Neural Compression.pdf
Oral,Block Diffusion_ Interpolating Between Autoregressive and Diffusion Language Models.pdf,ICLR_2025_Papers/Oral/Block Diffusion_ Interpolating Between Autoregressive and Diffusion Language Models.pdf
Oral,Physics of Language Models_ Part 3_3_ Knowledge Capacity Scaling Laws.pdf,ICLR_2025_Papers/Oral/Physics of Language Models_ Part 3_3_ Knowledge Capacity Scaling Laws.pdf
Oral,Quality Measures for Dynamic Graph Generative Models.pdf,ICLR_2025_Papers/Oral/Quality Measures for Dynamic Graph Generative Models.pdf
Oral,Toward Human-Interpretable Explanations in a Unified Framework for GNNs.pdf,ICLR_2025_Papers/Oral/Toward Human-Interpretable Explanations in a Unified Framework for GNNs.pdf
Oral,In vivo cell-type and brain region classification via multimodal contrastive learning.pdf,ICLR_2025_Papers/Oral/In vivo cell-type and brain region classification via multimodal contrastive learning.pdf
Oral,Hottel Zone Physics-Constrained Networks for Furnaces.pdf,ICLR_2025_Papers/Oral/Hottel Zone Physics-Constrained Networks for Furnaces.pdf
Oral,VeSX_ A Framework Featured by Verification_ Self-Correction and In-context Learning for Web Automati.pdf,ICLR_2025_Papers/Oral/VeSX_ A Framework Featured by Verification_ Self-Correction and In-context Learning for Web Automati.pdf
Oral,Tuning Language Models by Mixture-of-Depths Ensemble.pdf,ICLR_2025_Papers/Oral/Tuning Language Models by Mixture-of-Depths Ensemble.pdf
Oral,Data Shapley in One Training Run.pdf,ICLR_2025_Papers/Oral/Data Shapley in One Training Run.pdf
Oral,MaestroMotif_ Skill Design from Artificial Intelligence Feedback.pdf,ICLR_2025_Papers/Oral/MaestroMotif_ Skill Design from Artificial Intelligence Feedback.pdf
Oral,SNAP-TTA_ Sparse Test-Time Adaptation for Latency-Sensitive Applications.pdf,ICLR_2025_Papers/Oral/SNAP-TTA_ Sparse Test-Time Adaptation for Latency-Sensitive Applications.pdf
Oral,MQuAKE-Remastered_ Multi-Hop Knowledge Editing Can Only Be Advanced with Reliable Evaluations.pdf,ICLR_2025_Papers/Oral/MQuAKE-Remastered_ Multi-Hop Knowledge Editing Can Only Be Advanced with Reliable Evaluations.pdf
Oral,ToolGen_ Unified Tool Retrieval and Calling via Generation.pdf,ICLR_2025_Papers/Oral/ToolGen_ Unified Tool Retrieval and Calling via Generation.pdf
Oral,MambaFormer-MOE_ Mamba-Transformer-based Mixture-of-Experts for Time Series Prediction.pdf,ICLR_2025_Papers/Oral/MambaFormer-MOE_ Mamba-Transformer-based Mixture-of-Experts for Time Series Prediction.pdf
Oral,How new data permeates LLM knowledge and how to dilute it.pdf,ICLR_2025_Papers/Oral/How new data permeates LLM knowledge and how to dilute it.pdf
Oral,RaSA_ Rank-Sharing Low-Rank Adaptation.pdf,ICLR_2025_Papers/Oral/RaSA_ Rank-Sharing Low-Rank Adaptation.pdf
Oral,JudgeLM_ Fine-tuned Large Language Models are Scalable Judges.pdf,ICLR_2025_Papers/Oral/JudgeLM_ Fine-tuned Large Language Models are Scalable Judges.pdf
Oral,Syntactic and Semantic Control of Large Language Models via Sequential Monte Carlo.pdf,ICLR_2025_Papers/Oral/Syntactic and Semantic Control of Large Language Models via Sequential Monte Carlo.pdf
Oral,Causally Motivated Sycophancy Mitigation for Large Language Models.pdf,ICLR_2025_Papers/Oral/Causally Motivated Sycophancy Mitigation for Large Language Models.pdf
Oral,Self-Improving Logic from Experimental Observations.pdf,ICLR_2025_Papers/Oral/Self-Improving Logic from Experimental Observations.pdf
Oral,Common Feature Learning for Zero-shot Image Recognition.pdf,ICLR_2025_Papers/Oral/Common Feature Learning for Zero-shot Image Recognition.pdf
Oral,Rethinking Neural Multi-Objective Combinatorial Optimization via Neat Weight Embedding.pdf,ICLR_2025_Papers/Oral/Rethinking Neural Multi-Objective Combinatorial Optimization via Neat Weight Embedding.pdf
Oral,GenBen_A Genarative Benchmark for LLM-Aided Design.pdf,ICLR_2025_Papers/Oral/GenBen_A Genarative Benchmark for LLM-Aided Design.pdf
Oral,Flow Matching for One-Step Sampling.pdf,ICLR_2025_Papers/Oral/Flow Matching for One-Step Sampling.pdf
Oral,Learning Fused State Representations for Control from Multi-View Observations.pdf,ICLR_2025_Papers/Oral/Learning Fused State Representations for Control from Multi-View Observations.pdf
Oral,Measuring and Enhancing Trustworthiness of LLMs in RAG through Grounded Attributions and Learning to.pdf,ICLR_2025_Papers/Oral/Measuring and Enhancing Trustworthiness of LLMs in RAG through Grounded Attributions and Learning to.pdf
Oral,Robustness Reprogramming for Representation Learning.pdf,ICLR_2025_Papers/Oral/Robustness Reprogramming for Representation Learning.pdf
Oral,KARPA_ A Training-free Method of Adapting Knowledge Graph as References for Large Language Model_s R.pdf,ICLR_2025_Papers/Oral/KARPA_ A Training-free Method of Adapting Knowledge Graph as References for Large Language Model_s R.pdf
Oral,UnoLoRA_ Single Low-Rank Adaptation for Efficient Multitask Fine-tuning.pdf,ICLR_2025_Papers/Oral/UnoLoRA_ Single Low-Rank Adaptation for Efficient Multitask Fine-tuning.pdf
Oral,Herb-GANNet_ Synthetic Data Generation through Conditional GANs for Improving Accuracy in Medicinal .pdf,ICLR_2025_Papers/Oral/Herb-GANNet_ Synthetic Data Generation through Conditional GANs for Improving Accuracy in Medicinal .pdf
Oral,Modeling Complex System Dynamics with Flow Matching Across Time and Conditions.pdf,ICLR_2025_Papers/Oral/Modeling Complex System Dynamics with Flow Matching Across Time and Conditions.pdf
Oral,Probabilistic Conformal Prediction with Approximate Conditional Validity.pdf,ICLR_2025_Papers/Oral/Probabilistic Conformal Prediction with Approximate Conditional Validity.pdf
Oral,BanglaGITI_ A Novel Dataset for Bangla Music Genre Classification with A Comprehensive Analysis.pdf,ICLR_2025_Papers/Oral/BanglaGITI_ A Novel Dataset for Bangla Music Genre Classification with A Comprehensive Analysis.pdf
Oral,Mitigating Privacy Risk of Adversarial Examples with Counterfactual Explanations.pdf,ICLR_2025_Papers/Oral/Mitigating Privacy Risk of Adversarial Examples with Counterfactual Explanations.pdf
Oral,Video Action Differencing.pdf,ICLR_2025_Papers/Oral/Video Action Differencing.pdf
Oral,Defining Deception in Decision Making.pdf,ICLR_2025_Papers/Oral/Defining Deception in Decision Making.pdf
Oral,A Systemic Review of Static Memory Analysis.pdf,ICLR_2025_Papers/Oral/A Systemic Review of Static Memory Analysis.pdf
Oral,Learning through Conditioning on Natural Language Feedback.pdf,ICLR_2025_Papers/Oral/Learning through Conditioning on Natural Language Feedback.pdf
Oral,Exploring the Recall of Language Models_ Case Study on Molecules.pdf,ICLR_2025_Papers/Oral/Exploring the Recall of Language Models_ Case Study on Molecules.pdf
Oral,Stacking Small Language Models for Generalizability.pdf,ICLR_2025_Papers/Oral/Stacking Small Language Models for Generalizability.pdf
Oral,Synergistic Approach for Simultaneous Optimization of Monolingual_ Cross-lingual_ and Multilingual I.pdf,ICLR_2025_Papers/Oral/Synergistic Approach for Simultaneous Optimization of Monolingual_ Cross-lingual_ and Multilingual I.pdf
Oral,Knowledge Entropy Decay during Language Model Pretraining Hinders New Knowledge Acquisition.pdf,ICLR_2025_Papers/Oral/Knowledge Entropy Decay during Language Model Pretraining Hinders New Knowledge Acquisition.pdf
Oral,Learning with Multi-Group Guarantees for Clusterable Subpopulations.pdf,ICLR_2025_Papers/Oral/Learning with Multi-Group Guarantees for Clusterable Subpopulations.pdf
Oral,MathOdyssey_ Benchmarking Mathematical Problem-Solving Skills in Large Language Models Using Odyssey.pdf,ICLR_2025_Papers/Oral/MathOdyssey_ Benchmarking Mathematical Problem-Solving Skills in Large Language Models Using Odyssey.pdf
Oral,Consistency Checks for Language Model Forecasters.pdf,ICLR_2025_Papers/Oral/Consistency Checks for Language Model Forecasters.pdf
Oral,Spider 2_0_ Evaluating Language Models on Real-World Enterprise Text-to-SQL Workflows.pdf,ICLR_2025_Papers/Oral/Spider 2_0_ Evaluating Language Models on Real-World Enterprise Text-to-SQL Workflows.pdf
Oral,Vietnamese Text-to-SQL with Large Language Models_ A Comprehensive Approach.pdf,ICLR_2025_Papers/Oral/Vietnamese Text-to-SQL with Large Language Models_ A Comprehensive Approach.pdf
Oral,Self-Improvement in Language Models_ The Sharpening Mechanism.pdf,ICLR_2025_Papers/Oral/Self-Improvement in Language Models_ The Sharpening Mechanism.pdf
Oral,The Good_ the Bad and the Ugly_ Watermarks_ Transferable Attacks and Adversarial Defenses.pdf,ICLR_2025_Papers/Oral/The Good_ the Bad and the Ugly_ Watermarks_ Transferable Attacks and Adversarial Defenses.pdf
Oral,Competition Dynamics Shape Algorithmic Phases of In-Context Learning.pdf,ICLR_2025_Papers/Oral/Competition Dynamics Shape Algorithmic Phases of In-Context Learning.pdf
Oral,Context-Parametric Inversion_ Why Instruction Finetuning May Not Actually Improve Context Reliance.pdf,ICLR_2025_Papers/Oral/Context-Parametric Inversion_ Why Instruction Finetuning May Not Actually Improve Context Reliance.pdf
Oral,Achieving Exact Federated Unlearning with Improved Post-Unlearning Performance.pdf,ICLR_2025_Papers/Oral/Achieving Exact Federated Unlearning with Improved Post-Unlearning Performance.pdf
Oral,Neural Wave Equation for Irregularly Sampled Sequence Data.pdf,ICLR_2025_Papers/Oral/Neural Wave Equation for Irregularly Sampled Sequence Data.pdf
Oral,Diffusion-Based Planning for Autonomous Driving with Flexible Guidance.pdf,ICLR_2025_Papers/Oral/Diffusion-Based Planning for Autonomous Driving with Flexible Guidance.pdf
Oral,Brain Bandit_ A Biologically Grounded Neural Network for Efficient Control of Exploration.pdf,ICLR_2025_Papers/Oral/Brain Bandit_ A Biologically Grounded Neural Network for Efficient Control of Exploration.pdf
Oral,Internet of Agents_ Weaving a Web of Heterogeneous Agents for Collaborative Intelligence.pdf,ICLR_2025_Papers/Oral/Internet of Agents_ Weaving a Web of Heterogeneous Agents for Collaborative Intelligence.pdf
Oral,Investigating Self-Attention_ Its Impact on Sample Efficiency in Deep Reinforcement Learning.pdf,ICLR_2025_Papers/Oral/Investigating Self-Attention_ Its Impact on Sample Efficiency in Deep Reinforcement Learning.pdf
Oral,DarkBench_ Benchmarking Dark Patterns in Large Language Models.pdf,ICLR_2025_Papers/Oral/DarkBench_ Benchmarking Dark Patterns in Large Language Models.pdf
Oral,Temporal Environment-Aware Image Generation via Latent Diffusion.pdf,ICLR_2025_Papers/Oral/Temporal Environment-Aware Image Generation via Latent Diffusion.pdf
Oral,Bayesian-LoRA_ LoRA based Parameter Efficient Fine-Tuning using Optimal Quantization levels and Rank.pdf,ICLR_2025_Papers/Oral/Bayesian-LoRA_ LoRA based Parameter Efficient Fine-Tuning using Optimal Quantization levels and Rank.pdf
Oral,TopoLM_ brain-like spatio-functional organization in a topographic language model.pdf,ICLR_2025_Papers/Oral/TopoLM_ brain-like spatio-functional organization in a topographic language model.pdf
Oral,ESMGain_ Effective and Efficient Prediction of Mutation_s functional Effect via ESM2 Transfer Learni.pdf,ICLR_2025_Papers/Oral/ESMGain_ Effective and Efficient Prediction of Mutation_s functional Effect via ESM2 Transfer Learni.pdf
Oral,Recovering Plasticity of Neural Networks via Soft Weight Rescaling.pdf,ICLR_2025_Papers/Oral/Recovering Plasticity of Neural Networks via Soft Weight Rescaling.pdf
Oral,Compositional simulation-based inference for time series.pdf,ICLR_2025_Papers/Oral/Compositional simulation-based inference for time series.pdf
Oral,Distributed Quasi-Newton Method for Fair and Fast Federated Learning.pdf,ICLR_2025_Papers/Oral/Distributed Quasi-Newton Method for Fair and Fast Federated Learning.pdf
Oral,Learning-Augmented Frequent Directions.pdf,ICLR_2025_Papers/Oral/Learning-Augmented Frequent Directions.pdf
Oral,When GNNs meet symmetry in ILPs_ an orbit-based feature augmentation approach.pdf,ICLR_2025_Papers/Oral/When GNNs meet symmetry in ILPs_ an orbit-based feature augmentation approach.pdf
Oral,Shared Memory for Multi-agent Lifelong Pathfinding.pdf,ICLR_2025_Papers/Oral/Shared Memory for Multi-agent Lifelong Pathfinding.pdf
Oral,On the Robustness of Vision-Language Models Against Distractions.pdf,ICLR_2025_Papers/Oral/On the Robustness of Vision-Language Models Against Distractions.pdf
Oral,Neuroacoustic Patterns_ Constant Q Cepstral Coefficients for the Classification of Neurodegenerative.pdf,ICLR_2025_Papers/Oral/Neuroacoustic Patterns_ Constant Q Cepstral Coefficients for the Classification of Neurodegenerative.pdf
Oral,Harmonic Machine Learning Models are Robust.pdf,ICLR_2025_Papers/Oral/Harmonic Machine Learning Models are Robust.pdf
Oral,Exploring New Frontiers in Vertical Federated Learning_ the Role of Saddle Point Reformulation.pdf,ICLR_2025_Papers/Oral/Exploring New Frontiers in Vertical Federated Learning_ the Role of Saddle Point Reformulation.pdf
Oral,Optimal Transport for Time Series Imputation.pdf,ICLR_2025_Papers/Oral/Optimal Transport for Time Series Imputation.pdf
Oral,Robust Root Cause Diagnosis using In-Distribution Interventions.pdf,ICLR_2025_Papers/Oral/Robust Root Cause Diagnosis using In-Distribution Interventions.pdf
Oral,Bias in CLIP Encoders_ A Study of Encoder Bias and Object Representation in Multi-Object Scenarios.pdf,ICLR_2025_Papers/Oral/Bias in CLIP Encoders_ A Study of Encoder Bias and Object Representation in Multi-Object Scenarios.pdf
Oral,Offline Model-Based Optimization by Learning to Rank.pdf,ICLR_2025_Papers/Oral/Offline Model-Based Optimization by Learning to Rank.pdf
Oral,MOMENTUM MEETS VIRALITY_ A NOVEL METRIC FOR UNMASKING SOCIAL BIAS IN VIRAL TWEETS.pdf,ICLR_2025_Papers/Oral/MOMENTUM MEETS VIRALITY_ A NOVEL METRIC FOR UNMASKING SOCIAL BIAS IN VIRAL TWEETS.pdf
Oral,CGD_ Modifying the Loss Landscape by Gradient Regularization.pdf,ICLR_2025_Papers/Oral/CGD_ Modifying the Loss Landscape by Gradient Regularization.pdf
Oral,Learning to Discover Regulatory Elements for Gene Expression Prediction.pdf,ICLR_2025_Papers/Oral/Learning to Discover Regulatory Elements for Gene Expression Prediction.pdf
Oral,Recovering Knowledge by Hardening Language Models.pdf,ICLR_2025_Papers/Oral/Recovering Knowledge by Hardening Language Models.pdf
Oral,TabM_ Advancing tabular deep learning with parameter-efficient ensembling.pdf,ICLR_2025_Papers/Oral/TabM_ Advancing tabular deep learning with parameter-efficient ensembling.pdf
Oral,Activation Gradient based Poisoned Sample Detection Against Backdoor Attacks.pdf,ICLR_2025_Papers/Oral/Activation Gradient based Poisoned Sample Detection Against Backdoor Attacks.pdf
Oral,Improving the Sparse Structure Learning of Spiking Neural Networks from the View of Compression Effi.pdf,ICLR_2025_Papers/Oral/Improving the Sparse Structure Learning of Spiking Neural Networks from the View of Compression Effi.pdf
Oral,PIED_ Physics-Informed Experimental Design for Inverse Problems.pdf,ICLR_2025_Papers/Oral/PIED_ Physics-Informed Experimental Design for Inverse Problems.pdf
Oral,Inference Scaling for Long-Context Retrieval Augmented Generation.pdf,ICLR_2025_Papers/Oral/Inference Scaling for Long-Context Retrieval Augmented Generation.pdf
Oral,UniCBE_ An Uniformity-driven Comparing Based Evaluation Framework with Unified Multi-Objective Optim.pdf,ICLR_2025_Papers/Oral/UniCBE_ An Uniformity-driven Comparing Based Evaluation Framework with Unified Multi-Objective Optim.pdf
Oral,The Rate-Distortion-Perception Trade-Off with Algorithmic Realism.pdf,ICLR_2025_Papers/Oral/The Rate-Distortion-Perception Trade-Off with Algorithmic Realism.pdf
Oral,DailyDilemmas_ Revealing Value Preferences of LLMs with Quandaries of Daily Life.pdf,ICLR_2025_Papers/Oral/DailyDilemmas_ Revealing Value Preferences of LLMs with Quandaries of Daily Life.pdf
Oral,MAP_ Multi-Human-Value Alignment Palette.pdf,ICLR_2025_Papers/Oral/MAP_ Multi-Human-Value Alignment Palette.pdf
Oral,MAC-CAFE_ Multi-actor_ Centralized Critic Architecture for Feedback-driven Editing.pdf,ICLR_2025_Papers/Oral/MAC-CAFE_ Multi-actor_ Centralized Critic Architecture for Feedback-driven Editing.pdf
Oral,RL4CO_ an Extensive Reinforcement Learning for Combinatorial Optimization Benchmark.pdf,ICLR_2025_Papers/Oral/RL4CO_ an Extensive Reinforcement Learning for Combinatorial Optimization Benchmark.pdf
Oral,Defend against Jailbreak Attacks via Debate with Partially Perceptive Agents.pdf,ICLR_2025_Papers/Oral/Defend against Jailbreak Attacks via Debate with Partially Perceptive Agents.pdf
Oral,OpenCity_ A Scalable Platform to Simulate Urban Activities with Massive LLM Agents.pdf,ICLR_2025_Papers/Oral/OpenCity_ A Scalable Platform to Simulate Urban Activities with Massive LLM Agents.pdf
Oral,Spread Preference Annotation_ Direct Preference Judgment for Efficient LLM Alignment.pdf,ICLR_2025_Papers/Oral/Spread Preference Annotation_ Direct Preference Judgment for Efficient LLM Alignment.pdf
Oral,Learning to Search from Demonstration Sequences.pdf,ICLR_2025_Papers/Oral/Learning to Search from Demonstration Sequences.pdf
Oral,Large-Scale Multi-Agent Reinforcement Learning for Traffic Signal Optimization.pdf,ICLR_2025_Papers/Oral/Large-Scale Multi-Agent Reinforcement Learning for Traffic Signal Optimization.pdf
Oral,Capturing the Temporal Dependence of Training Data Influence.pdf,ICLR_2025_Papers/Oral/Capturing the Temporal Dependence of Training Data Influence.pdf
Oral,Layer-Wise Quantization_ A Pragmatic and Effective Method for Quantizing LLMs.pdf,ICLR_2025_Papers/Oral/Layer-Wise Quantization_ A Pragmatic and Effective Method for Quantizing LLMs.pdf
Oral,Network-based Active Inference for Adaptive and Cost-efficient Real-World Applications_ PV Panel Ins.pdf,ICLR_2025_Papers/Oral/Network-based Active Inference for Adaptive and Cost-efficient Real-World Applications_ PV Panel Ins.pdf
